Year,Pathogen,Specimen,Location,Antibiotic,Resistance_Percentage
2021,Klebsiella spp.,Blood,Overall,Amikacin,43.0
2021,Klebsiella spp.,Blood,Overall,Gentamicin,50.0
2021,Klebsiella spp.,Blood,Overall,Ciprofloxacin,68.0
2021,Klebsiella spp.,Blood,Overall,TMP-SMX,58.0
2021,Klebsiella spp.,Blood,Overall,Nitrofurantoin,42.0
2021,Klebsiella spp.,Urine,Overall,Cefoperazone-Sulbactam,26.0
2021,Klebsiella spp.,Urine,Overall,Piperacillin-Tazobactam,33.0
2021,Klebsiella spp.,Urine,Overall,Cefotaxime,61.0
2021,Klebsiella spp.,Urine,Overall,Cefepime,48.0
2021,Klebsiella spp.,Urine,Overall,Imipenem,21.0
2021,Klebsiella spp.,Urine,Overall,Meropenem,26.0
2021,Klebsiella spp.,Urine,Overall,Amikacin,24.0
2021,Klebsiella spp.,Urine,Overall,Gentamicin,32.0
2021,Klebsiella spp.,Urine,Overall,Ciprofloxacin,55.0
2021,Klebsiella spp.,Urine,Overall,TMP-SMX,47.0
2021,Klebsiella spp.,Urine,Overall,Nitrofurantoin,47.0
2021,Klebsiella spp.,All Specimens,ICU,Cefoperazone-Sulbactam,29.0
2021,Klebsiella spp.,All Specimens,IPD,Cefoperazone-Sulbactam,15.0
2021,Klebsiella spp.,All Specimens,OPD,Cefoperazone-Sulbactam,28.0
2021,Klebsiella spp.,All Specimens,ICU,Piperacillin-Tazobactam,60.0
2021,Klebsiella spp.,All Specimens,IPD,Piperacillin-Tazobactam,28.0
2021,Klebsiella spp.,All Specimens,OPD,Piperacillin-Tazobactam,48.0
2021,Klebsiella spp.,All Specimens,ICU,Cefotaxime,75.0
2021,Klebsiella spp.,All Specimens,IPD,Cefotaxime,53.0
2021,Klebsiella spp.,All Specimens,OPD,Cefotaxime,69.0
2021,Klebsiella spp.,All Specimens,ICU,Cefepime,70.0
2021,Klebsiella spp.,All Specimens,IPD,Cefepime,41.0
2021,Klebsiella spp.,All Specimens,OPD,Cefepime,62.0
2021,Klebsiella spp.,All Specimens,ICU,Imipenem,39.0
2021,Klebsiella spp.,All Specimens,IPD,Imipenem,16.0
